species	group
achromobacter_xylosoxidans_gca_001654705	nonvertebrates
achromobacter_xylosoxidans_gca_001957065	nonvertebrates
achromobacter_xylosoxidans_gca_003503255	nonvertebrates
acidaminobacter_hydrogenoformans_dsm_2784_gca_900103005	nonvertebrates
acidaminococcus_fermentans_dsm_20731_gca_000025305	nonvertebrates
acidaminococcus_fermentans_gca_900115425	nonvertebrates
acidaminococcus_intestini_gca_000174215	nonvertebrates
acidaminococcus_intestini_ryc_mr95_gca_000230275	nonvertebrates
acidaminococcus_sp_am05_11_gca_003472805	nonvertebrates
acidaminococcus_sp_am33_14bh_gca_003603525	nonvertebrates
acidaminococcus_sp_cag_542_gca_000437815	nonvertebrates
acidianus_brierleyi_gca_003201835	nonvertebrates
acidianus_hospitalis_w1_gca_000213215	nonvertebrates
acidianus_manzaensis_gca_002116695	nonvertebrates
acidianus_sulfidivorans_jp7_gca_003201765	nonvertebrates
acidibacillus_ferrooxidans_gca_001516615	nonvertebrates
acidibacillus_ferrooxidans_gca_001602485	nonvertebrates
acidibacillus_ferrooxidans_gca_002027205	nonvertebrates
acidibacillus_sulfuroxidans_gca_003144315	nonvertebrates
acidiferrobacteraceae_bacterium_gca_002687565	nonvertebrates
acidiferrobacteraceae_bacterium_gca_002721105	nonvertebrates
acidiferrobacteraceae_bacterium_gca_002724185	nonvertebrates
acidiferrobacteraceae_bacterium_gca_002725185	nonvertebrates
acidihalobacter_ferrooxydans_gca_001975725	nonvertebrates
